Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Environmental economics & policy(college of l&s),3.40 - 3.93,0.264367816,3.40 - 3.93,0.826086957,23,87,19
Geography,3.80 - 4.00,0.098591549,masked,0.571428571,7,71,4
Conservation & resource studies,3.50 - 3.94,0.396825397,3.56 - 3.98,0.72,25,63,18
Ecosystem management and forestry - forestry,3.30 - 3.59,0.3125,masked,0.6,5,16,3
Ecosystem management and forestry - natural resource management,3.18 - 3.71,0.333333333,masked,0.571428571,7,21,4
Environmental economics & policy(college of natural resources),3.74 - 3.94,0.122137405,3.74 - 3.93,0.8125,16,131,13
Environmental science,3.70 - 3.92,0.169230769,3.70 - 3.92,0.863636364,22,130,19
Society and environment,3.50 - 3.98,0.343283582,3.48 - 3.95,0.739130435,23,67,17
Architecture,3.57 - 3.93,0.204724409,3.54 - 3.95,0.788461538,52,254,41
Landscape architecture,masked,0.103448276,masked,1.0,3,29,3
American studies,3.50 - 3.87,0.307692308,3.40 - 3.69,0.6,20,65,12
Chicano studies,3.41 - 3.81,0.222222222,masked,0.4,10,45,4
Ethnic studies,3.46 - 3.86,0.425,3.29 - 3.85,0.823529412,17,40,14
Gender & women's studies,3.70 - 3.93,0.242718447,3.35 - 3.90,0.4,25,103,10
Integrative biology,3.51 - 3.94,0.237373737,3.46 - 3.83,0.425531915,47,198,20
Molecular&cell biology,3.65 - 3.94,0.291563275,3.59 - 3.92,0.476595745,235,806,112
Genetics & plant biology,3.64 - 3.78,0.191011236,3.51 - 3.76,0.529411765,17,89,9
Microbial biology,3.73 - 4.00,0.232804233,3.70 - 3.95,0.409090909,44,189,18
Molecular environmental biology,3.63 - 3.94,0.125748503,3.70 - 3.92,0.523809524,21,167,11
Business administration,3.89 - 4.00,0.053393214,3.87 - 4.00,0.925233645,107,2004,99
Media studies,3.66 - 3.92,0.304140127,3.60 - 3.88,0.628272251,191,628,120
Computer science,3.67 - 3.97,0.053386454,3.66 - 3.98,0.805970149,67,1255,54
Data science,3.63 - 3.94,0.270935961,3.65 - 3.93,0.909090909,55,203,50
Chemical engineering,3.82 - 3.98,0.281879195,3.75 - 3.99,0.595238095,42,149,25
Bioengineering,3.76 - 4.00,0.136690647,3.80 - 4.00,0.684210526,19,139,13
Civil engineering,3.73 - 3.92,0.231155779,3.78 - 3.93,0.630434783,46,199,29
Electrical engineering - computer science,3.90 - 4.00,0.141414141,3.91 - 4.00,0.85,140,990,119
Industrial engineering & operations research engineering,3.76 - 3.99,0.204081633,3.74 - 3.97,0.7,10,49,7
Mechanical engineering,3.81 - 4.00,0.174757282,3.81 - 4.00,0.666666667,90,515,60
Nuclear engineering,3.51 - 3.80,0.346153846,3.51 - 3.86,0.555555556,9,26,5
Operations research & management science,3.68 - 3.95,0.285714286,masked,0.666666667,6,21,4
Art,3.64 - 3.92,0.339285714,3.64 - 3.91,0.486842105,76,224,37
Dance & performance studies,3.47 - 3.93,0.47826087,3.19 - 3.79,0.454545455,11,23,5
Film,3.56 - 3.92,0.245014245,3.55 - 3.92,0.61627907,86,351,53
History of art,3.50 - 3.91,0.542857143,3.43 - 3.88,0.596491228,57,105,34
Music,3.49 - 3.97,0.424657534,3.43 - 3.66,0.35483871,31,73,11
Theater and performance studies,3.53 - 3.88,0.359375,3.40 - 3.93,0.347826087,46,128,16
Chinese language & literature,3.47 - 3.85,0.301886792,3.46 - 3.80,0.6875,16,53,11
Comparative literature,3.76 - 4.00,0.627906977,3.82 - 4.00,0.62962963,27,43,17
"East asian religion, thought, and culture",3.66 - 3.90,0.220183486,3.70 - 3.90,0.625,24,109,15
French,3.58 - 3.95,0.6,3.78 - 3.98,0.666666667,9,15,6
Japanese language & literature,3.45 - 3.94,0.453333333,3.39 - 3.94,0.352941176,34,75,12
Linguistics,3.56 - 3.97,0.130136986,3.53 - 3.90,0.736842105,19,146,14
South & southeast asian studies,3.51 - 3.79,0.277777778,masked,0.6,5,18,3
Spanish - portuguese,3.34 - 3.75,0.569230769,3.25 - 3.65,0.540540541,37,65,20
Ancient egypt & near eastern art,3.26 - 3.89,0.833333333,masked,0.8,5,6,4
Classical civilization,masked,0.5,masked,1.0,4,8,4
Cognitive science,3.70 - 4.00,0.086734694,3.65 - 4.00,0.705882353,17,196,12
Global studies,3.75 - 3.98,0.174904943,3.74 - 3.92,0.608695652,46,263,28
Interdisciplinary studies,3.53 - 3.85,0.251082251,3.49 - 3.80,0.672413793,58,231,39
Near eastern civilizations,3.43 - 3.68,0.6,3.43 - 3.68,1.0,6,10,6
Nutritional science,3.52 - 3.89,0.142857143,3.52 - 3.88,0.466666667,15,105,7
Legal studies,3.53 - 3.94,0.277777778,3.49 - 3.92,0.685714286,35,126,24
English,3.62 - 3.93,0.376221498,3.56 - 3.92,0.528138528,231,614,122
History,3.61 - 4.00,0.205655527,3.55 - 4.00,0.475,80,389,38
Philosophy,3.50 - 3.86,0.522727273,3.43 - 3.84,0.534161491,161,308,86
Rhetoric,3.39 - 3.84,0.621621622,3.32 - 3.78,0.623188406,69,111,43
Applied mathematics,3.70 - 3.97,0.31981982,3.65 - 4.00,0.612676056,142,444,87
Mathematics,3.64 - 4.00,0.299435028,3.68 - 4.00,0.528301887,106,354,56
Statistics,3.76 - 4.00,0.203773585,3.75 - 3.99,0.740740741,54,265,40
Chemical biology,3.74 - 4.00,0.330434783,3.67 - 3.95,0.447368421,38,115,17
chemistry(college of chem),3.70 - 3.96,0.253393665,3.62 - 3.94,0.482142857,56,221,27
Materials science & engineering,3.78 - 3.93,0.275,3.66 - 3.92,0.818181818,11,40,9
Astrophysics,3.47 - 3.91,0.277777778,3.53 - 3.96,0.6,20,72,12
chemistry(college of l&s),3.41 - 3.71,0.375,3.42 - 3.66,0.75,12,32,9
Geology,3.34 - 3.89,0.238095238,masked,0.6,5,21,3
Geophysics,masked,0.571428571,masked,0.75,4,7,3
Physics,3.56 - 3.91,0.269035533,3.52 - 3.91,0.716981132,53,197,38
Psychology,3.71 - 4.00,0.065202471,3.67 - 4.00,0.578947368,95,1457,55
Social welfare,3.49 - 3.94,0.269565217,3.42 - 3.89,0.838709677,31,115,26
Public health,3.50 - 3.86,0.14453125,3.47 - 3.89,0.513513514,37,256,19
